                                                      tipo                                  rol  pct_nulos  dif_default_pp_si_ausente                                        tratamiento
collections_12_mths_ex_med                         float32                           predictora     0.0040                        NaN                                    Imputar mediana
chargeoff_within_12_mths                           float32                           predictora     0.0040                        NaN                                    Imputar mediana
tax_liens                                          float32                           predictora     0.0030                        NaN                                    Imputar mediana
hardship_flag                                     category               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
disbursement_method                               category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
debt_settlement_flag                              category               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
default                                               int8                               target     0.0000                        NaN                             Objetivo: no se imputa
issue_date                                  datetime64[ns]                       derivada (EDA)     0.0000                        NaN               Auxiliar del EDA: no entra al modelo
issue_year                                           int16                       derivada (EDA)     0.0000                        NaN               Auxiliar del EDA: no entra al modelo
term_num                                           float32                predictora (derivada)     0.0000                        NaN                 Sin nulos: no requiere tratamiento
id                                                  uint32                        identificador     0.0000                        NaN       ELIMINAR: identificador sin valor predictivo
delinq_amnt                                        float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
fico_range_low                                     float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
delinq_2yrs                                        float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
addr_state                                        category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
zip_code                                            object                    alta cardinalidad     0.0000                        NaN                ELIMINAR: redundante con addr_state
purpose                                           category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
url                                                 object                        identificador     0.0000                        NaN       ELIMINAR: identificador sin valor predictivo
pymnt_plan                                        category               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
loan_status                                       category                               target     0.0000                        NaN                             Objetivo: no se imputa
issue_d                                             object                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
verification_status                               category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
annual_inc                                         float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
home_ownership                                    category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
sub_grade                                         category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
grade                                             category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
installment                                        float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
int_rate                                           float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
term                                              category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
funded_amnt_inv                                    float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
funded_amnt                                        float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
loan_amnt                                          float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
earliest_cr_line                                    object                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
fico_range_high                                    float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
acc_now_delinq                                     float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
inq_last_6mths                                     float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
application_type                                  category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
policy_code                                        float32                            constante     0.0000                        NaN                            ELIMINAR: varianza nula
last_fico_range_low                                float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
last_fico_range_high                               float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
last_pymnt_amnt                                    float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
collection_recovery_fee                            float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
recoveries                                         float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
total_rec_late_fee                                 float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
total_rec_int                                      float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
total_rec_prncp                                    float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
total_pymnt_inv                                    float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
total_pymnt                                        float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
out_prncp_inv                                      float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
out_prncp                                          float32               fuga (post-desembolso)     0.0000                        NaN                      ELIMINAR: fuga de informacion
initial_list_status                               category                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
total_acc                                          float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
revol_bal                                          float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
pub_rec                                            float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
open_acc                                           float32                           predictora     0.0000                        NaN                 Sin nulos: no requiere tratamiento
cr_hist_years                                      float32                predictora (derivada)     0.0000                        NaN                 Sin nulos: no requiere tratamiento
